COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2
565,Economic recovery & small business support,Employment opportunities,There should be more grants and employment opportunities for people who have been displaced and lost jobs. We are struggling and no one seems to care. The state seems to have moved on.,23.22618675,-24.79060173
684,Economic recovery & small business support,Employment opportunities,"The entertainment industry, along with a lot of Los Angeles, has lost jobs over the past five years. We should focus on returning these individuals to work in our community whenever possible. While I get we have an outside contractor with expertise in this area, why don't we require them to hire people who have lived in LA for an extended period? Let's support those who have lost their jobs and those who currently reside here. We have a community in the know in the future, then.",23.95345879,-24.21733856
698,Economic recovery & small business support,Employment opportunities,"Please hire local people in Los Angeles for available jobs. The job market is challenging right now, and our tax dollars should be used to help our own community find work while recovering.",24.80513954,-23.66535759
1049,Economic recovery & small business support,Employment opportunities,"This is a great moment to engage all walks of life in all things civic! I want to see the Venn diagram: 
A: People who want to help
B: People who need steady work
C: Community and government needs
If we can overlay those three things, it becomes a win-win-win",23.15726471,-23.57285309
1710,Economic recovery & small business support,Employment opportunities,"To help retain the local residents that were impacted/ future residents that are near fire risk areas, economic development/ workforce development will be essential. If grants are provided, it may be helpful to include local higher education institutions (community colleges, cal states, UCs), to make it more inclusive and a learning opportunity (volunteering/ college internship credit, college corps).",23.73338127,-25.30432510
1542,Economic recovery & small business support,Employment opportunities,Remove the red tape and long waits. Hire and train locally. Give back to our own and do it quickly. Why does it take months to onboard people to help us? Why are they not people from here that understand us?,24.31294823,-23.68771744
760,Economic recovery & small business support,Grant distribution oversight,Local business assistance should be spared for those who really need it. We don't need a situation like the PPP loans where the well off ran away with a huge chunk of the pie meant for others.,23.32954407,-23.20644188
1077,Economic recovery & small business support,Grant distribution oversight,"Except majority of this disaster recovery, for example, was in the form of private donations redistributed to individuals, and in federal support like FEMA and ACE.  What we need is local govt funds to go towards infrastructures that are severely lacking (when was the last time you drove LA and didn't dodge a massive pothole?) and without raising taxes on individuals.  We already pay plenty to keep this all running smoothly.",21.38959312,-23.13013458
1057,Economic recovery & small business support,Grant distribution oversight,Must be open and transparent process with competitive bidding.,22.19888306,-19.21663666
267,Economic recovery & small business support,Grant distribution oversight,Money should be going straight to the people affected by the fires and those in the city that are already housing insecure. Not to small businesses or non-profit middlemen that sap funding for their own gain. Funds should be used to build new affordable housing and fund direct relief to low-income/migrant families. Without affordable and safe housing and stable finances people do not have a chance to obtain employment or start their own businesses.,22.62138367,-20.17408371
276,Economic recovery & small business support,Grant distribution oversight,The fact that Fire Aid took so much money and there is no clear path to seeing that money is beyond frustrating. There should be a czar to oversee the funds and community members should have a voice.,22.47883987,-19.62353134
609,Economic recovery & small business support,Grant distribution oversight,"Grants are essential, but they need to be more accessible to individual people. We're seeing a lot of money go to ""organizations"", but the people need it directly. We don't need funded services that are difficult to access, we need cash in hand to meet our needs.",21.56615257,-20.86126328
653,Economic recovery & small business support,Grant distribution oversight,"Individuals and businesses both need grants to support their transition.  After seeing how larger NGO's have managed these funds in the past, I've little to no support for them.  Both the city and the county should have an established list of people and businesses affected by the fires, and should be able to directly reach out to them for that effort.  If not, then that's a failure on their part.  Families and individuals both need businesses in the area to restart their lives, just as businesses needs them.",21.77774429,-20.20004845
668,Economic recovery & small business support,Grant distribution oversight,Grants should go to small businesses and individuals who have been established in the community.,21.04445267,-19.74665451
704,Economic recovery & small business support,Grant distribution oversight,Remember to make sure these grants are going to local businesses and not scammers/fraudsters.,21.46636963,-19.17569351
994,Economic recovery & small business support,Grant distribution oversight,More funding more grants more education on how to get these resources and agency support services!!,21.36916542,-20.17253304
1207,Economic recovery & small business support,Grant distribution oversight,Small business owners should be able to qualify for grants and local business assistance. Government must be critical of tracking the funds and making sure it's going to the correct hands.,21.92671013,-21.2130909
1435,Economic recovery & small business support,Grant distribution oversight,"The City does not have money to give out and is terrible at managing large-scale projects. Before creating a new spending program, focus on cutting the egregious waste that led to our billion-dollar deficit. Let charitable Angelenos and the community charities we support care for people who need help.",21.97516441,-20.52658463
1455,Economic recovery & small business support,Grant distribution oversight,Where are the fundraising dollars going? We have received a minimal amount of $ . Are the dollars being vetted?,22.41981125,-20.00471497
1482,Economic recovery & small business support,Grant distribution oversight,We need transparency for how government and private sector funds are being spent on the recovery,22.5372715,-20.68270493
1560,Economic recovery & small business support,Grant distribution oversight,Be sure all monies being distributed are not being scammed or stolen by those who are not eligible or impersonating those who do.  Slow it down and coordinate with all the other money coming in and make sure it gets to the right people.   Stop hiring big firms that are somehow supposed to help but are just another layer of bureaucracy and waste of money.,21.84355736,-19.51935387
299,Economic recovery & small business support,Importance of supporting local businesses,We need federal assistance no strings attached just like in every other disaster. We need FEMA!,24.73991966,-24.8542366
372,Economic recovery & small business support,Importance of supporting local businesses,"Yes, grants to business owners who lost everything is essential as they are an essential part of any community and keep the communities running.",21.6797905,-24.27918816
1161,Economic recovery & small business support,Importance of supporting local businesses,"Businesses need help, we need our businesses! Financing should be available to them at a very low interest rate. We love our small business owners and they need support.",23.9318409,-24.83710289
327,Economic recovery & small business support,Importance of supporting local businesses,they are an important part of our community,21.65084076,-24.81166649
354,Economic recovery & small business support,Importance of supporting local businesses,"Restaurants and small businesses everywhere in LA, not just the burn zones, need help.",23.23960304,-24.29374313
356,Economic recovery & small business support,Importance of supporting local businesses,This is very needed.,22.31595802,-23.64119148
