COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2
555,Emergency planning & community safety,Emergency warning systems,"In Japan they have an extremely loud warning system for tsunamis and evacuation routes well marked

I believe we still have the vestiges of an old air raid siren system here
In the 1970's they used to test it about once a month if I recall correctly

Coordination among agencies is of paramount importance in disaster reaction & recovery
We have more than enough Fed & State human, financial & material resources 2 face the challenges

Unfortunately they are poorly coordinated  It is good that Gov Newsome designated a PPP 2 manage the recovery, this should work well

The well known people & companies involved in LA Rises & Steadfast LA are much appreciated, however PPPs need to include people with a vision for sustainable community development",7.421389103,7.895020008
892,Emergency planning & community safety,Emergency warning systems,"Information Systems

Unified information hierarchy with verification protocols
WhatsApp communication system for all neighborhoods
Information aggregator across platforms (TCEP, Facebook, Nextdoor)
Video update system from cameras throughout the canyon
Watch Duty app integration for real-time updates

Community Connections

Neighborhood buddy system for checking on each other
Talent and resource directory organized by zone
""Know your neighbors"" initiatives
Monthly preparedness to-do lists
Annual neighborhood gatherings

Technical Solutions

Meshtastic.org mesh network for emergency text communications
Local emergency co-citizen news and action hub
Silver Lake walkie-talkie system for local coordination
Starlink hubs with batteries at key ca",6.068281651,6.192194939
935,Emergency planning & community safety,Emergency warning systems,"We need more community outreach and education, especially at the grade school level. People should have a firm understanding about the landscape of the land around them and how fire is part of that landscape. More remote monitoring stations and staffed fire lookout towers need to be placed in fire risk zones. And early warning systems that are not reliant on a 3rd party private social media platform.",5.674714088,6.589936256
963,Emergency planning & community safety,Emergency warning systems,One radio band for ALL police and fire departments in the County.,7.142979145,6.38501215
1001,Emergency planning & community safety,Emergency warning systems,We need a hazard alert system that is up to the challenge of dealing with fast-moving disasters. Providing fast and accurate information for wildfires requires something more than the existing scattershot approach to blasting out evacuation notices.,6.14873457,7.205794811
1038,Emergency planning & community safety,Emergency warning systems,"There needs to be a warning system that is not reliant on mobile devices. There should be a public PA system, these used to exist but were decommissioned. Also the city of LA's transportation related departments should be consolidated to ensure smoother communication and effective responses during emergencies.",6.958984852,6.953208447
1047,Emergency planning & community safety,Emergency warning systems,"There should be ONE responsible government body which provides ONE vetted, real-time source of information via an app / text / website / phone number or calls / AM/FM radio / PA system / skywriting / whatever's required to get the good word out in the form most convenient to each citizen!",6.342767715,6.394776344
1070,Emergency planning & community safety,Emergency warning systems,"This is an excellent point. mobile phones are great, but many seniors don't have them or (if you're my mom) keep them on so figuring out a notification system that is multi-lingual and inclusive is critical to saving lives",7.12242651,6.284676075
1203,Emergency planning & community safety,Emergency warning systems,"There needs to be a plan for any type of disaster from fires, earthquakes, tsunamis to terrorist attacks. State Government must must work with city/counties and everyone must be on the same page to avoid chaos. We used to have the earthquake horns by the 10 freeway, what happen to them? Cell phone service isn't always reliable so there must be other forms of communication.",7.252433777,7.460509777
1217,Emergency planning & community safety,Emergency warning systems,Sirens should be installed so that we don't need to rely on people having cell phones.,8.04967308,6.943408012
1232,Emergency planning & community safety,Emergency warning systems,"When the electricity goes down, cell phone users should be immediately migrated to Starlink during Fire Warning periods, which is not dependent on electricity.  Having no communication (no internet, no phones) is a matter of life or death when people can't get evacuation warnings.",7.626629829,6.61430788
1240,Emergency planning & community safety,Emergency warning systems,Warning systems are essential. In the (small) Town of Paradise sirens are very effective. LA may be too vast for sirens but the warning system must reach everyone LOUDLY.,7.73306942,7.408409595
1264,Emergency planning & community safety,Emergency warning systems,"Broadband connectivity. Education programs regarding the many resources that exist and are free that enable residents to know what's going on around them. The Genasys Protect app was mentioned in county notifications. Anyone with a phone could have downloaded it and been on top of developments and information streams from multiple sources. But you wouldn't know that if you didn't follow the link. Improving the systems has a lot to do with empowering each person, making them aware of how much information is in the public sphere and making sure they know how to access it, including having the necessary device(s). So education, maybe takes live events or even neighborhood outreach teams. Students could help.",6.296426296,6.668481827
1291,Emergency planning & community safety,Emergency warning systems,"In our rural area, we've discovered the hard way that key equipment for landlines, cable/internet and cell service often shares a power pole. Which means literally every means of communication most people have access to goes down at the same time if the fire takes out that ONE pole. There ought to be a mandate for undergrounding ALL of those services and separating them where undergrounding is not possible. A grant program to equip rural residents with satellite phones for emergency use would also help, as would establishing local emergency radio frequencies we could tune into for updates. Also, cell phones should be able to connect to ANY available tower for ALL CALLS (not just 911) and alerts (nixle, watch duty, etc) during emergencies.",8.155919075,6.493556499
