COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2
296,Emotional & mental health support,Mental health support,"People deal with issues in different ways and people need resources and support to get through things. I didn't loose my loved one's, I didn't loose my house, but it was still traumatic and I suffered from survivors guilt. I wish there was something more I could have done to protect my community.",26.25143814,4.647624016
305,Emotional & mental health support,Other,I feel like well let's just recall pandemic and we was all isolated and then people lost money business owners went down so just by seeing that it's my opinion that together we can do bigger better things 😀,26.51544762,5.080170155
306,Emotional & mental health support,Other,I always dreamed of building a community center I've shared this before only to watch a community center be built however it's not that it's the idea of what it can offer and my community center has a drawn out blue print from how it's designed how it functions and how beneficial it would be however I can't find community that supports my idea if I had the opportunity to get a chance to show how valuable it is to everyone I feel like to me that's the key to opining up and not just rebuilding but actually improving and making a better place to live and work play then it's ever been I feel that it's the key for United instead of devided thank you wanda .,24.65109444,5.127092838
324,Emotional & mental health support,Mental health support,Making resources available and how to find them.,25.6127224,5.610474586
378,Emotional & mental health support,Mental health support,"There are many resources available to address trauma support, but what the public needs right now is tangible rebuilding assistance and services. Providing these will have a lasting positive impact on their mental health in the long term.",24.68794251,4.032804489
436,Emotional & mental health support,Free emergency counseling,"This will be money wasted on something that people can access through insurance, a plethora of online services/apps.",24.69809914,7.14041996
458,Emotional & mental health support,Other,We have community members ready to offer FREE mental health services but need the FREE space to do it. Help offer these spaces so residents may get the support they need.,24.50801849,5.522138596
511,Emotional & mental health support,Other,"Important to acknowledge the trauma, grief, and loss experienced by this community",24.76239777,5.670921326
532,Emotional & mental health support,Other,"If we put ourselves in the shoes of someone who has lost their home it is easy to see how anyone could use some emotional support.  
Mental health counselors use the term ""tool kit"" for strategies related to overcoming life's challenges.   Perhaps a website offering this and/or enlisting podcasters/influences to get those ideas out there would be helpful.",25.97011185,6.040896416
536,Emotional & mental health support,Other,"Providing accessible, genuine mental health support is an investment in our people/community and a valuable effort to mitigate homelessness",23.90576172,4.458957672
549,Emotional & mental health support,Counseling access through healthcare,"So many folks cant access mental health services right now from commercial insurance providers like Kaisser. This need to change to advance timely, accurate, and essential mental health services. This will help the public health system not be so overwhelmed. Maybe have commercial insurance providers reimburce county for cost of sharing",23.29295158,4.71295929
559,Emotional & mental health support,Other,Support that can be utilized online and that is not connected to church organizations feels incredibly necessary. I know people who didn't go to certain outreach/donation locations because of church affiliations. So private counseling options or ones offered by broad-based community organizations would be incredible.,24.8021431,6.771994591
575,Emotional & mental health support,Free emergency counseling,Reached out to the Red Cross. They said I was not eligible for counseling!!!! I have been staying in a hotel for three months!,23.94111824,7.20085907
585,Emotional & mental health support,Other,I think we overemphasized mental health in the early weeks of the disaster.  There was so much offered in terms of mental support and counseling but people had no where to sleep and no where to eat. They did not have time to sit in a circle and talk about their mental state.  We were all in shock!  We were all under pressure!  None of us were doing well. Everyone was breaking down. What is needed is a community response to meet basic needs with a caring attitude.  Best thing for mental health is a warm meal and a neighbor who cares.  World Central Kitchen did this better than any government resource.  I think the order of priorities should be shelter and food and then mental health.,23.91460228,4.084804535
589,Emotional & mental health support,Other,There are hundreds of charities in the state that support this. There is a shortage of funding for those charities. There is also a shortage of people availing themselves to the services.,24.96273422,6.431488991
660,Emotional & mental health support,Counseling access through healthcare,"Mental health care is over burdened, especially compared to our already burdened health systems. A key to mental health is feeling safe, so mental recovery can't begin until displaced members of our community have stability.",23.70057106,4.689829826
676,Emotional & mental health support,Other,There are plenty of NGO's that provide services.,24.81578827,6.252423763
725,Emotional & mental health support,Other,Fire is a highly traumatic experience. There should be counselors available as soon as possible in shelters to help people cope with the situation.,24.59895515,4.864600658
748,Emotional & mental health support,Other,"Defenitetely we need put effort on it, becase belive it or not, the emotions, disphoryes AND so. Came from the mind AND in the mind the spiritual being Is allocated so if we cover that need, we stop in parte the collective psicosis Tha Burden the entre society.",24.33606529,4.175459385
762,Emotional & mental health support,Mental health support,It's something to look at but it should be behind rebuilding.,25.10161018,3.838164568
768,Emotional & mental health support,Other,Third party mental health specialists will always be required in a crisis such as this. However the majority of what got us through this was from community connections.  Sponsoring events that give people a chance to meet and befriend their community would be powerful.,26.34454346,5.852341652
778,Emotional & mental health support,Mental health support,"Support for orgs that are already in this space, access to grants and funding for the continuing of their current missions. The community teams and grief brought on by these fires is overwhelming and needs to be addressed.",24.95362854,4.955141068
825,Emotional & mental health support,Other,"Fire victims will not be able to make well-considered decisions about how to move forward if they are traumatized and hurting. We need to make people whole -- mental health services, support groups, somatic therapy, all of this needs to be available at low or no cost to people affected by the fires.",24.32547379,4.825555325
862,Emotional & mental health support,Other,"Having a list of people who can help with this available on a post-fire/post-disaster app (like Watch Duty except post disaster) would be helpful. Places that are registered with the county/state/city.

I run a non-profit that offers free online and ongoing grief recovery sessions and wanted to expand the free offerings and publicize but have no idea where to offer that in a way that is safe, accessible.",24.92124367,6.082650661
898,Emotional & mental health support,Free emergency counseling,Counseling and trauma support can and should be done by individual choice within private sector sources,24.33234787,6.766368866
945,Emotional & mental health support,Counseling access through healthcare,"Mental health is the same as physical health, it must be treated as such.",23.55045319,4.903554916
955,Emotional & mental health support,Other,"Having an organized list with Deaf or any disabled working professional would be amazing. There is a growing number of Deaf and disabled mental health professionals in America, so it would be very beneficial for our community to have this resource.",25.42601776,6.073456764
965,Emotional & mental health support,Counseling access through healthcare,I thought there was a Mental Health Parity Law. It must be enforced. No one would deny care to someone who broke their leg.,23.10043907,5.009627342
