COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2
561,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"Part of the beauty of Altadena was it's connection to nature. We should aim to protect and restore that while striving to build a more fire-safe community. But all of that starts with the assurance of safe soil and clean water -- if we can't deliver that, we're inviting our neighbors home to disaster and a lifetime of health problems.",-3.679536104,22.05737495
460,Debris removal & environmental recovery,Soil and other environmental testing,"I have seen numerous agencies offering free testing for soil. The city needs to make this a priority. Our children, elderly, and immune compromised neighbors deserve their safety to be prioritized. We do not want to hear stories years from now about Altadena residents who are now suffering from medical illnesses due to the city's quick response to ""back to business as usual"" without taking the proper steps and precautions to ensure our community's safety.",-3.417834282,21.94840622
579,Debris removal & environmental recovery,Soil and other environmental testing,"We need soil testing or we'll never feel confident in our safety. 

Trees that were removed from public spaces need to be replanted. Trees are part of what makes Altadena, Altadena. 

Outdoor community spaces need to be made safe and available, but I would wait until the debris in their immediate vicinity is cleared.",-3.968166351,22.04740524
1255,Debris removal & environmental recovery,Soil and other environmental testing,Make testing affordable to those Altadenans who have lost everything.,-3.616939545,21.77713013
1095,Debris removal & environmental recovery,Other,Edison should be responsible for this. Residents of Altadena should not have to pay.,-3.698027849,21.73748207
1594,Debris removal & environmental recovery,Other,"I would also add that identifying and trying to preserve any historic or culturally significant sites, as well as architecture, would be important this process and integrating preservationist into the process would be ideal.",-6.073092461,21.05589676
1739,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,open space and habitat can be addressed AFTER soil & water quality and debris removal.,-5.895814896,20.9021225
1700,Debris removal & environmental recovery,Debris removal concerns,"Debris removal is essential,  the other items not so much",-6.979362011,21.49540329
1609,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"However, the environmental recovery should include a plan to establish and maintain fire breaks in the Santa Monica mountains above and around the town. The area managed by the conservancy and the state parks in the mountains are really wild animal parks, and should be treated and managed as such balancing the needs of the animals against the safety of the surrounding communities. The historical approach is resulting in larger and more frequent wildfires. So something clearly has to change.",-6.315178394,20.5327816
1055,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,Ocean clean-up is so important for the city of LA and the identity of LA.,-6.534349442,21.75949669
326,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,We can move beyond phase 1 without it.,-6.723212719,21.43213272
382,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"Soil, water quality and debris removal would be, in my opinion the preceding essential elements. Open space and habitat restoration is also essential but perhaps can be addressed thereafter.",-5.946813107,21.29083443
644,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"Working to have geographically-appropriate landscaping, deep-rooted, vegetation in all accessible areas, prioritizing this",-6.284223557,21.06747818
674,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"Plant fire resistant vegetation,",-6.333000183,21.12100029
685,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"Debris removal, absolutely.  habitat restoration, that can wait.  Take care of the immediate needs first.",-6.687077999,20.94009972
688,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,Controlled burns please,-6.195045471,21.48792458
700,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,Habitat restoration can wait. In fact brush clearance needs to happen to keep humans safe not mice and rats.,-6.682123184,20.71677971
708,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,Agree. Habitat is definitely important but debris that blocks infrastructure should take priority.,-6.873767376,21.06712532
904,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"Among the easiest to implement- Government has a civic obligation to steward and maintain these pre-agreed items through previous citizenry taxation. Heroic governmental measures are unneeded. I.e., Just let us have plenty of clean water and land so nature can effortlessly rebuild.",-6.01554966,20.41941071
1321,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,Reforestation efforts are an important factor in helping to restore the environment,-6.395493031,21.396204
1660,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"Replacing sprawled, high-fire risk areas with natural buffers against fire.",-6.151506901,20.76764298
1679,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,Smart habitat restoration. Not clearing out debris etc. that create fuel for fires should not be an option,-6.451332092,20.96151924
1715,Debris removal & environmental recovery,Habitat restoration and natural fire prevention,"This is an essential topic.  Healthy water and soils are necessary to ensure safe recreation and living spaces, and soil remediation is necessary to ensure that toxins do not become airborne during drought months. Habitat restoration is important to preserve biodiversity and reduce summer heat and optimize the Earth's albido.",-5.964296818,20.52079392
294,Debris removal & environmental recovery,Debris removal concerns,Removal of debris is critical. We also need soils to be tested and contaminated soil removed so residents know they are returning home to a safe lot they can build a future on. There was a lot of misinformation about the debris removal process but the work is being done safely and CA has the most strict hazardous waste laws in the nation that ensure debris is handled appropriately. Debris is piling up in neighborhoods near the fires because people are throwing all their sunburned stuff into alleys and out on the street also.,-5.20735693,22.85996056
357,Debris removal & environmental recovery,Debris removal concerns,"Needs to be expedited, Phase 2 is only 3% done.",-4.915380478,21.87815666
