COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2
264,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding","More affordable housing, everywhere",11.98435688,-1.50731957
272,Housing and rebuilding,Other,Upzone the burned areas to increase the value of the land so that the homeowners can be made whole.,11.18475342,-2.162954807
289,Housing and rebuilding,Other,"Seniors and the disabled community members, and those who are isolated are in real need of support. We need more outreach workers to ensure people are rehoused and doing wellness checks.",10.63084793,0.1258361042
290,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding","A route to ownership should be available for all renters. Passive income landlord arrangements hurt communities by building cheap, flippable homes, overcrowding lots, building in a manner that isn't sensitive to the needs of families and children. If people owned their own property because they had assistance to purchase we'd all be better off.",11.84867573,-1.463962913
323,Housing and rebuilding,Other,"For us, getting the community back as well as being able to rebuild our homes is essential. Getting our schools rebuilt and our community center repopulated are also important",12.28368664,-0.5247825384
479,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding",Attention to roadblocks due to Trump's tariffs and deportations. Please provide a safe place for undocumented immigrants who want to help us rebuild.,12.59136581,-0.1367270201
984,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding",Address foreign ownership of homes that the owners do not live in or if it is not their primary home. Housing is a complex problem which is more acute now that we just lost many thousands of homes to fire and wont see them rebuilt for years but that seems like low hanging fruit.,12.10791969,-1.228803277
412,Housing and rebuilding,Other,"Build more multi-family dwellings, eliminate the restrictions on duplex and triplex in single family zoning, build more and build everywhere.",11.60356712,-2.170164347
425,Housing and rebuilding,Other,"Renters and homeowners may need real financial assistance, even if they are uninsured or underinsured.",10.37467957,-0.1952783763
446,Housing and rebuilding,Other,"This is super important, and I would recommend bringing in a private company to make sure it is actually done effectively.",11.78677559,-0.01376743335
1262,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding","The size of the homeless population in LA County is a direct reflection of the cost of housing. It would be a missed opportunity if Altadena became a city of expensive single-family homes. Lots tend to be big. Models for multi-family ""compounds"" for intergenerational families, or friends who want to live together would maximize space and build community. Could include shared garden areas or other features that create opportunities for contact with nature.",12.70530129,-0.580794692
500,Housing and rebuilding,Other,"About 225,000 units, or 6.1%, of Los Angeles County's total housing stock, were vacant per a 2023 Census survey. Whole apartment buildings are used as illegal Airbnbs, or held vacant for tax purposes. A serious civic push to free up these unavailable units would have a profound impact not just in providing options for fire refugees, but for all rent burdened Angelenos.",9.574081421,-0.1427512616
535,Housing and rebuilding,Other,"The cost of building materials had been rising steadily for years.  With this catastrophe the demand will skyrocket and so will prices.

This is why is it imperative that a multi-layered cost reduction strategy be implemented.",12.60559368,0.9265288115
567,Housing and rebuilding,Other,"Easy access to fire-safe building plans would help people tremendously, I think. I know some homeowners will struggle because they want to rebuild THE house, but many of those houses had outdated materials that are no longer up to code. But helping people see how they can rebuild with the proper materials will get some people over that hump quickly. Additionally, ADUs are a great way to help people earn extra income to cover their mortgages/insurance -- or to bring loved ones in when they need housing. This should be something that can be fast-tracked immediately. Long-term we all know that affordable housing is a challenge -- I'm not sure how we ever overcome the NIMBY mentality and make room for those who can't afford $3000 studio apts.",10.95117378,1.923527598
588,Housing and rebuilding,Other,"Who pays for this? This isn't a solution. It's playing with knives all day and asking for a box of bandaids.

The solution is to build more housing BEFORE disasters so all citizens have homes. The next step is to harden homes in fire zones. The most important step after that is to have a commitment between govt agencies on managing debris, dried out trees, and flammable fuels from the outskirts and inner parts of communities so these fires don't get so out of control.",11.12668705,-1.224917293
1286,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding",We need more affordable housing. Period.,11.68890381,-1.715291262
355,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding","By the time this is done, the homes will be rebuilt.",12.80704689,-0.05578756705
602,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding",Forcing more people to take in pets! Many residents have had a hard time finding housing because of their pets.,12.13797092,-0.9344255924
642,Housing and rebuilding,Other,step back and think about this,11.32619381,-0.5772233605
714,Housing and rebuilding,"Affordability, density, and fire-safe rebuilding",We need more housing not less. We should pull out all the stops to build back with more units not less.,11.81625271,-1.873205423
649,Housing and rebuilding,Other,"It's my understanding that this is how Lahaina has helped localize and transition their recovery, and that it's going well for the residents and for the environment",10.31115723,0.7671788931
1084,Housing and rebuilding,Other,Way to go!,12.0171566,-0.1874770075
669,Housing and rebuilding,Other,"I think it is critically important to address price gouging of displaced victims. At some point, the rental free market needs some guardrails to ensure all are housed equitably.",10.08669472,-0.6418899894
