COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2
1716,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,"Fire prevetion programs and predicting where firebreaks will be best utilized is important. I think our government is learning from this experience, and funds would best be spent on studies and programs to address wildfire risks in a future with rapid climate change.  This is especially true for our water infrastucture.  When it was planned, no one could have planned for the massive strain on water pressure that the wildfires put on the system.  This is not our government's fault.",-9.843996048,8.843027115
983,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,"Yes on Firebreaks. Yes, fund community fire prevention programs that fire audit every single property and help property owners meet code -not punitively but to help them not loose their homes-. As for holding government accountable, they can start by answering why a for profit monopoly backed by taxpayer insurance is allowed to be the sole provider of a necessary service such as electricity and not have to upgrade their equipment, invest in monitoring tech, hire more employees and still run hi power lines over bone dry, inaccessible wilderness that borders one of the most densely populated mega cities in the country while being seemingly unprepared for well forecasted red flag events.",-10.64504337,7.370444775
1298,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,"Before the fire, I talked to local Palisades firefighters about firebreaks-- both natural and those that LAFD would ""create"" in the time of fire.  Those theories proved worthless in the face of this fire.",-10.26438713,8.307918549
1520,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,"Of course, firebreaks should be mandatory in all fire prone areas. Specifically, all agencies responsible for enforcing fire and water regulations (both directly and indirectly), should be held the most responsible. This is mostly their jurisdictional areas. Fire and water special emphasis program implementation - including organizations to whom it may concern.",-10.43365574,6.878114223
1566,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,"I prefer to stay focused on where we go from here, rather than debate why stuff didn't happen in the past. We know what we need to do (e.g, utility under-grounding, firebreaks, fire prevention, fire hardening when (re)building, etc.). It will cost money (private, government). We know we have not had basic* transparency in past on government action (including our IOU monopolies), so let's design that differently from hereon too, perhaps leveraging 311 that we already use. All this can be piloted/tested in LA, but needs to be designed for statewide rollout, adapted for situations elsewhere. 

*basic in sense of: clear, accessible, responsive, and timely to average citizen - not in terms of endless dense reports commissioned by CPUC etc.",-9.23315239,8.074969292
1604,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,"The state of California has done a horrible job with forest management, firebreaks and accountability.",-9.79813385,7.437833309
530,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,"There are many L.A. residents who would be willing to do the work of creating firebreaks.

The biggest problem we face in disaster recovery is not a lack of resources, but a lack of coordination between federal, state and local agencies.   A public-private partnership like L.A. Rises should be created for this specific purpose.

As of last year, approximately 2,500 of the 18,000+ structures destroyed in the Camp Fire in Northern California had been rebuilt.
This is unacceptable, especially considering the massive amount of government/private human, financial and material resources that we have available.",-11.02077007,8.136417389
613,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,We need to make community based burning more accessible so that we can have burns when it is not fire season to reduce fuels during fire season.,-3.934486866,10.93381882
818,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,There should be firebreaks. Clear forest from nearby subdivisions and communities. Clear underbrush from forest floors. Consider prescribed burns.,-4.069915295,11.34498692
831,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,"Near a city, regular controlled fires when weather is cooperative should be implemented. Cloud seeding should start in December.  All of LA is a dry zone...let's not stand by and watch it burn again and again when we know how to remove fuel for fires.",-3.691186905,10.41581345
900,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,We need to return to stewardship and controlled burns during seasonal and atmospheric advantageous periods.,-3.266977787,10.06233978
943,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,Fire is a part of the landscape and our land use policies need to reflect that. It's not just about current accountability but historical accountability. We displaced people from the land and from there ability to tend to the landscape with fire. We have a fire debt that must be paid.,-4.134531498,9.862306595
1229,Wildfire prevention prioritization & accountability,Controlled burns and firebreaks,The December 2024 Franklin fire burn scar saved the western half of Malibu. Please allow such planned burn scar prevevention/protection for all beach neighborhoods in the future.,-3.111783981,11.38133335
