COMMENT_ID,TARGET,CONTENT,TENSION_CATEGORY,LLM_SUMMARY,LABEL,UMAP_1,UMAP_2,SUBCATEGORY
1699,Financial & legal assistance,"We need deregulation and free permitting. building Codes are great and needed for public safety but then why is government penalizing citizens, owners and builders by charging them to implement safety codes. Makes no sense! Property taxes are already excessive and should already cover this expense and service to promote safety and avoid the need for people to dodge code or safety requirements.",Public v Private,"Property taxes should cover safety code implementation instead of charging extra permit fees, which discourages people from following building regulations.",private market deregulation,2.321255684,1.907233953,Insurance Companies Failing Policyholders
1698,Climate & community resilience,California needs to call in Federal assistance to manage the entire state. Too much of the forest is left unkept. Need to increase logging of old forest so that areas can be managed with planting of new growth. Open it up the private companies to manage.,Public v Private,"Private companies should manage forest maintenance and logging of old growth, rather than relying solely on state management.",private management preferred,4.07292366,6.882437229,Utilities Need Public Accountability
1673,Wildfire prevention prioritization & accountability,Please put as many power lines underground as possible.,Public v Private,Power lines should be put underground.,Underground Power Line Advocate,3.806535006,13.37722683,Underground Power Lines Required
1670,Financial & legal assistance,An online system to report my insurance company for not following their own guidelines and policies for covering our losses that are clearly outlined in our contract.  I have to drive 46 miles from home to work post-fire when I had less than one mile drive pre-fire. My insurance adjuster says my wife and I should ride together when we work different jobs at different start and end time. They also state that we should not be eating out so much since we rented a place with a kitchen...we leave before the sun comes up and return home at dark and dont have time or energy to cook meals at home. This is not being a good neighbor as their tagline says.,Public v Private,"Insurance company refuses to honor policy terms and makes unreasonable demands about commuting and meals, contradicting their 'good neighbor' promise.",private insurance accountability,-0.01857426204,-0.3041883707,Insurance Companies Failing Policyholders
1661,Prioritize recovery themes,"Listen. To. The. Insurance. Companies. When a business is reliant on predicting a property's risk of fire damage, and they charge exorbitantly to insure it (or don't insure it AT ALL), people should not be permitted to build housing there. Period.",Public v Private,"Insurance companies' risk assessments should determine where housing is allowed - if they won't insure it, don't build there.",Insurance Dictates Development,-0.6590306759,2.484639883,Insurance Companies Failing Policyholders
1655,Financial & legal assistance,"The government's attacking insurance, as someone from the southeast US, is strange. Governmental agencies let the city of LA develop and sprawl into high fire-risk areas. Insurance companies, like when people build beachfront homes in hurricane country, jacked up the insurance rates. When an insurance company says an area is dangerous, believe them.

Forcing other taxpayers to supplement a ""wood home in a tinderbox"" is ludicrous. Saying it's the homeowners' fault for having a home in a tinderbox is likewise insane; they aren't fire experts.

The blame for the Palisades fire's destruction lays at the feet of the negligent county, city, and state level officials who allowed people to build/buy homes and root their lives in the line of fire.",Public v Private,"Insurance companies know fire risks, but government allowed development in dangerous areas. Taxpayers shouldn't subsidize high-risk homes, yet officials enabled people to build there.",government versus private,0.3187173009,3.478124142,High Risk Areas Should Pay Own Costs
1657,Infrastructure & utilities restoration,"Infrastructural changes are necessary. They are also incredibly expensive. Burying power lines throughout the city is incredibly expensive... who is going to pay for it? You need a more robust, dense tax base. 

These analyses of different cities have been done by Urban3, which reveals how tax revenue/acre increases with density. Greater density would easily help to fund the necessary infrastructure improvements.",Public v Private,"Power lines need to be buried for safety, but it's expensive. Higher population density would provide the tax revenue needed to fund these infrastructure improvements.",taxpayer cost allocation,0.2791191638,10.714251518,Underground Power Lines Required
1648,Prioritize recovery themes,Others have mentioned the elephant in the room - home owners insurance in CA. This is going to continue to be a massive problem unless a sustainable solution is found. The reality is that most of the people I grew up will not be able to afford to return to the Palisades because they were massively underinsured. This is heartbreaking.,Public v Private,Insurance costs in California are unsustainable. Many Palisades residents were underinsured and can't afford to return home after fires.,Insurance Affordability Crisis,-1.935530663,1.190282345,Insurance Companies Failing Policyholders
1645,Financial & legal assistance,"I cannot tell you what a nightmare it has been for those of us who have homes still standing to navigate insurance. Most of the information at town halls and webinars was for total loss, which is a more clearly defined insurance process. The rest of us were basically expected to go back into our toxic homes and had to fight like hell for every ounce of ALE and smoke remediation to be covered. We are so grateful for Ricardo Lara and his staff for their help putting pressure on the insurance companies, but it would be great if the agents had the capacity to offer more guidance and support",Public v Private,"Insurance companies provide minimal guidance for partial damage claims, forcing homeowners to fight for coverage while navigating toxic conditions without support.",Insurance Coverage Accessibility,0.394385457,0.5199359059,Insurance Companies Failing Policyholders
1615,Debris removal & environmental recovery,"All debris must be cleared from all properties. It can be done privately but if anyone refuses or abandons their lot it must be removed even if a lean must be implemented against the owner and property. We can't have toxic waste that's both dangerous and unsightly to remain. Also, all the utilities must be buried underground. MUST. No exceptions.",Public v Private,"Property owners should clear debris or face liens, and all utilities must be buried underground - no exceptions. Government must enforce when private owners fail.",private infrastructure enforcement,0.6033296585,9.578702927,Underground Power Lines Required
