PARTICIPANT_ID,VOTE_OPTION,VOTE,TARGET_NAME,_FIVETRAN_SYNCED,VOTE_NUMBER,CONSENSUS,COMMENT_ID,COMMENT_CONTENT,LIKE_COUNT,REPLY_COUNT
4de8173f-c48d-4c40-8e83-fbf7db72e00b,INCREASED_HOUSING_DENSITY,Neutral,Increased housing density and expedited permits,2025-08-12 20:23:19.335 Z,4,0.8006,,,,
f1c067bd-8a8b-44ea-ba32-d48b6f2cf774,INCREASED_HOUSING_DENSITY,Neutral,Increased housing density and expedited permits,2025-08-12 20:23:19.372 Z,4,0.8006,,,,
e7bc95e5-55b9-4dc6-96b5-1ed166798604,INCREASED_HOUSING_DENSITY,Supportive,Increased housing density and expedited permits,2025-08-12 20:23:19.338 Z,6,0.8006,3506,"yes, but these communities should have excellent resilience planning, not just more dense, crappy houses that will burn down again. the resilience plans should be deep and address short, medium and long term risks, not just fire, so the communities come out strong, better, more stable and more safe (which will make them more valuable, too)",0,0
b7cb3d11-3ea0-4f80-b95a-1d90aeb65a5f,INCREASED_HOUSING_DENSITY,Somewhat supportive,Increased housing density and expedited permits,2025-08-12 20:23:19.303 Z,5,0.8006,2198,"These should be separate questions. 100% yes to speeding up building permits, and using AI to streamline. The question of density is a separate one. We need more density in urban hubs closer to public transportation and businesses. Altadena should not be rebuilt denser, other than the existing ADU rules, which will already double the density. That is more than sufficient. The community is not an urban hub and should not have higher-rise housing. It is an exurban foothill community.",0,0
7c98a6bd-c173-4d1d-986a-b644630879b7,INCREASED_HOUSING_DENSITY,Neutral,Increased housing density and expedited permits,2025-08-12 20:23:19.311 Z,4,0.8006,3463,"Aren't these two distinct issues? Yes please speed up permitting. No, it should not be denser.",2,0
486c5e19-dd8b-42f6-9b4c-179d71707498,INCREASED_HOUSING_DENSITY,Strongly supportive,Increased housing density and expedited permits,2025-08-12 20:23:19.372 Z,7,0.8006,,,,
ea418c35-4e14-492a-ad16-b38240ebe22d,INCREASED_HOUSING_DENSITY,Strongly opposed,Increased housing density and expedited permits,2025-08-12 20:23:19.336 Z,1,0.8006,,,,
82c7a51b-335e-46ae-acd8-091f124060b0,INCREASED_HOUSING_DENSITY,Somewhat opposed,Increased housing density and expedited permits,2025-08-12 20:23:19.329 Z,3,0.8006,,,,
80527d03-bb0e-488a-be8c-8242df1e8b5d,INCREASED_HOUSING_DENSITY,Strongly opposed,Increased housing density and expedited permits,2025-08-12 20:23:19.326 Z,1,0.8006,2587,ADUs are OK. Mukltifamily in R-1 zones are not OK.,0,0
de4d3306-1fe0-44d5-9c4e-a88d6e5e6a0d,INCREASED_HOUSING_DENSITY,Supportive,Increased housing density and expedited permits,2025-08-12 20:23:19.374 Z,6,0.8006,,,,
25549db5-fe47-4e96-aa18-ebf994956334,INCREASED_HOUSING_DENSITY,Somewhat supportive,Increased housing density and expedited permits,2025-08-12 20:23:19.332 Z,5,0.8006,,,,
