PARTICIPANT_ID,VOTE_OPTION,VOTE,TARGET_NAME,_FIVETRAN_SYNCED,VOTE_NUMBER,CONSENSUS,COMMENT_ID,COMMENT_CONTENT,LIKE_COUNT,REPLY_COUNT,EVACUATION_ZONE,SUPPORT
0de6c02d-6aae-4611-9f25-03f667e82379,INCREASED_HOUSING_DENSITY,Strongly opposed,Increased housing density and expedited permits,2025-08-22 16:18:16.564 Z,1,0.8016,,,,,"Yes, in the Palisades fire evacuation zone",0.4408
f0278611-2dbe-4e9b-9fdb-df91f9bf3462,INCREASED_HOUSING_DENSITY,Supportive,Increased housing density and expedited permits,2025-08-22 16:18:16.551 Z,6,0.8016,,,,,No,0.4408
ddf6fae1-d6e8-47cd-a65b-309e914be6d8,INCREASED_HOUSING_DENSITY,Opposed,Increased housing density and expedited permits,2025-08-22 16:18:16.563 Z,2,0.8016,2583,The Palisades should not be denser without a well developed effective evacuation plan for future fires.,0,0,"Yes, in the Palisades fire evacuation zone",0.4408
82659a7f-2bca-47b3-9c9a-a8ce29b98109,INCREASED_HOUSING_DENSITY,Somewhat supportive,Increased housing density and expedited permits,2025-08-22 16:18:16.569 Z,5,0.8016,2845,In certain neighborhoods this makes a lot of sense.,0,0,"Yes, in the Palisades fire evacuation zone",0.4408
86597501-c2d8-48c1-a5fb-2c77cf99f9bd,INCREASED_HOUSING_DENSITY,Strongly supportive,Increased housing density and expedited permits,2025-08-22 16:18:16.560 Z,7,0.8016,2501,I have tried to work with her building and planning department to rebuild our house and was under the impression they would assist us with fewer road blocks in our efforts. But personally I haven't seen the type of service the government keeps talking about in terms of helping. I've seen the same problems working with the building and planning department as pre fire.  I would welcome that type of assistance in my attempts to rebuild our house. I have an approved permit from the building department to turn our power back on and the Edison company still refuses to turn on the power.,1,0,"Yes, in the Palisades fire evacuation zone",0.4408
60cb9636-e38a-4b08-8d45-0418f3b42606,INCREASED_HOUSING_DENSITY,Supportive,Increased housing density and expedited permits,2025-08-22 16:18:16.580 Z,6,0.8016,3254,I don’t think new densely packed houses makes for a good neighborhood thing. Fires spread to quickly easily. Plus new neighborhood residents like elbow room.,1,0,No,0.4408
71781d00-f2b5-40fa-ab99-6eb2ecf0b672,INCREASED_HOUSING_DENSITY,Strongly opposed,Increased housing density and expedited permits,2025-08-22 16:18:16.581 Z,1,0.8016,3322,We barely made it out alive during the last fire with many abandoning cars and fleeing on foot. The Palisades does not need higher density.,0,0,"Yes, in the Palisades fire evacuation zone",0.4408
4e9b307e-2728-4c17-8411-6b66b8c40a3f,INCREASED_HOUSING_DENSITY,Opposed,Increased housing density and expedited permits,2025-08-22 16:18:16.553 Z,2,0.8016,2224,"Unfortunately, ""density"" sometimes translates to developers building multi-unit housing where only a few units are rented because they can afford to leave the others vacant. I also agree with the comments about how this is better utilized in areas that are multi-use near transit corridors and business centers. I don't think this is the right move for the Palisades.",1,0,"Yes, in the Palisades fire evacuation zone",0.4408
00ff9b37-eca5-49cb-9077-43aa02f14765,INCREASED_HOUSING_DENSITY,Strongly opposed,Increased housing density and expedited permits,2025-08-22 16:18:16.556 Z,1,0.8016,2308,We are in a SEVERE HIGH FIRE ZONE!! This would be so unsafe as it was extremely traumatic to evacuate on January 7th. Adding more density would be a HUGE MISTAKE. Please  speed up the permit process for those that need to build.,1,0,"Yes, in the Palisades fire evacuation zone",0.4408
91a733e2-8bbe-4095-acb1-5b1f2fb637c9,INCREASED_HOUSING_DENSITY,Supportive,Increased housing density and expedited permits,2025-08-22 16:18:16.583 Z,6,0.8016,3363,"I am not sure it makes sense to increase population density on the WUI, but I am always in favor of increasing development on infill. It may make sense for there to be a buyback campaign on the side of the state for the most impacted areas so that they can be maintained as natural firebreaks. Encouraging development in fire safer areas, ie in greater LA around transit, makes sense",0,0,No,0.4408
