comment_id,comment,topic,opportunity_area
1741,CA get it together! Why is it always a surprise when a fire takes place? CA government should be required to meet preventative FIRE measures and I am not referring to decades to develop.,Prioritize recovery themes,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1739,open space and habitat can be addressed AFTER soil & water quality and debris removal.,Debris removal & environmental recovery,
1737,Doubt CA has the updated technology to create emergency communication.,Emergency communication,
1736,ADU shall not be a requirement regardless of CA housing shortage.,Housing & rebuilding,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1735,"Take care of the local business owners as well as the owners (first) EXPEDIENTLY,",Economic recovery & small business support,Rebuild quickly or rebuild for resilience
1734,This is more so for the government agencies.,Climate & community resilience,
1732,Insurance and Government agencies and should cover the costs and issue a public apology for their ineptness. It isn't about politics and constituencies.,Wildfire prevention prioritization & accountability,Public or private sector responsibility for utilities and infrastructure
1731,"COORDINATION AMOUNG AGENCIES needs to be addressed. WATER regardless of any protected species should be made available in a time of emergency, furthermore FUND THE FIRE DEPARTMENT appropriately and don't publicize CA STATE/LA COUNTY scapegoat by firing the FIRE CHIEF. The people know better....its LA and the STATE that is the problem.",Emergency planning & community safety,
1724,"Smoke and air quality was really poor and information came out via social media about wildfire smoke toxins and P100 filters, which I appreciate. However, I encountered many residents that didn't know or see the information.  I encourage a more widespread push to inform residents abut the effects of wildfire on air quality and how to protect themselves. Perhaps an information campaign regarding toxic air prior to urban-wildland interface fires would help residents prepare with proper filtration for the home and person.  I would also suggest updating the AQI and lower the threshold for what is considered ""good"" quality during and for an appropriate time after an active fire.",Prioritize recovery themes,
1723,Aid to help navigate the system and assist when neceassary is welcome,Financial & legal assistance,
1722,This point is critical in our warming climate.,Climate & community resilience,
1721,"I am wary to putting resources in one place because of a lack of redundancy and crowding.  It would make sense to bundle like resources together, but spread it out so people can get to it.",Emergency communication,"Making space for more residents, or limiting housing density"
1720,I think solutions that let people keep their land and rebuild instead of selling to developers is important.,Housing & rebuilding,
1719,"This is a traumatic event to all, and city support for emotional and mental health for those who do not have access is welcome.",Emotional & mental health support ,
1718,"I think planning for a more rebust LA can happen now, and implementation can happen in time.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1717,"This fire was unprecedented in that the winds created a very fast moving fire.  I think the city did a good job alerting people to high fire risk prior to the windstorm, as long as residents were signed up for the city's NotifyLA system and looked at NOAA reports ahead of time.  I don't know how best to get alerts to all citizens, especially the elderly who may be technology averse.  Maybe start with a cell phone push to alert citizens of fire risk, and I think it is also the responsibility of the residents to prepare adequately too for rapid evacuation.",Emergency planning & community safety,Individual or collective responsibility for fire prevention
1716,"Fire prevetion programs and predicting where firebreaks will be best utilized is important. I think our government is learning from this experience, and funds would best be spent on studies and programs to address wildfire risks in a future with rapid climate change.  This is especially true for our water infrastucture.  When it was planned, no one could have planned for the massive strain on water pressure that the wildfires put on the system.  This is not our government's fault.",Wildfire prevention prioritization & accountability,
1715,"This is an essential topic.  Healthy water and soils are necessary to ensure safe recreation and living spaces, and soil remediation is necessary to ensure that toxins do not become airborne during drought months. Habitat restoration is important to preserve biodiversity and reduce summer heat and optimize the Earth's albido.",Debris removal & environmental recovery,
1714,"I absolutely support economic assitance for local, small businesses.",Economic recovery & small business support,
1713,"LA County PPE preparedness (face masks, respirators). Many residents were impacted by the smoke/ low air quality/ high PPM.",Prioritize recovery themes,
1712,Would need clarity of which agencies would help with this in LA county so it can be effective.,Climate & community resilience,
